,,,,,,,Stem,Stem,Stem,Plant Angle,,Clump,Transect,Tallest Stem,,,Flowering Intensity,,,Senesced
,,,,,,,Diameter,Diameter,Diameter,inside ,outside,Diameter mm,Count,Ligule,True leaf,Flower,<50,>50,>80,>80
,,,,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date
,,,,,,,51112,51112,51112,10213,10213,131112,291012,271112,271112,271112,271112,271112,271112,271112
,,,,,,,,,,,,,,,,,,,,
BLOCK,ROW,COLUMN,UID,Mx Number,Block,,StemDiam1,StemDiam2,StemDiam3,AngleInside,AngleOutside,ClumpDiam,TransectCount,TallestStemLigule,TallestStemTrueLeaf,TallestStemFlower,FloweringIntensityLessThan50,FloweringIntensityGreaterThan50,FloweringIntensityGreaterThan80,SenescedGreaterThan80
2,3,11,27992, - Mx 1553#92,2,,4.9,5.4,5.7,0,25,480,15,130,107,130,,,y,y
2,3,12,aBR 15 fS B2-R3 C12, - Mx 1553#100,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,12,28000, - Mx 1553#35,2,,4.6,3.9,3.8,0,15,250,23,103,103,,0,,,y
2,4,11,aBR 15 fS B2-R4 C11, - Goliath,2,,7.5,8.6,7.8,5,25,200,9,154,126,154,,,y,y
2,4,10,27984, - Mx 1553#102,2,,3.6,3.7,5.5,0,5,400,15,115,92,115,,,y,y
2,4,9,27976, - Mx 1553#72,2,,5.4,3.1,4.6,0,15,350,22,134,114,134,,,y,y
2,4,8,27968, - Mx 1553#79,2,,3.6,4.3,5,0,10,350,9,135,109,135,,,y,y
2,4,7,27959, - Mx 1553#6,2,,5,5.4,4.1,0,15,170,10,110,85,110,,,y,y
2,4,6,27951, - Mx 1553#50,2,,3.7,2.8,2.7,0,10,190,25,67,67,,0,,,y
2,4,5,27942, - Mx 1553#44,2,,5.9,4.9,3.7,0,20,210,18,54,54,,0,,,y
2,4,4,27933, - Mx 1553#39,2,,4.9,4.6,3.8,0,15,200,23,154,141,154,,,y,y
2,4,3,27924, - Mx 1553#93,2,,5.4,4.9,3.6,0,10,190,15,180,147,185,,,y,y
2,4,2,27915, - Mx 1553#84,2,,5.9,4.6,3.1,0,10,160,8,150,127,150,,,y,y
2,4,1,27906, - Mx 1553#77,2,,5.6,4.4,4.8,0,5,240,31,185,159,185,,,y,y
2,5,1,27907, - Mx 1553#47,2,,3.8,3,4,0,10,230,28,156,133,156,,,y,y
2,5,2,27916, - Mx 1553#43,2,,5.2,3.5,5.7,0,15,310,20,165,140,165,,,y,y
2,5,3,27925, - Mx 1553#88,2,,4.6,5.3,3.6,0,15,260,21,138,110,138,,,y,y
2,5,4,27934, - Mx 1553#108,2,,4.1,3.4,5,0,10,300,37,143,107,145,,,y,y
2,5,5,27943, - Mx 1553#109,2,,4.9,4.1,5.3,0,10,210,18,154,123,154,,y,,y
2,5,6,27952, - Mx 1553#8,2,,3.2,5.3,4.7,0,10,300,20,91,91,,0,,,y
2,5,7,27960, - Mx 1553#51,2,,4.3,4.2,3.5,0,20,170,15,64,64,,0,,,y
